simulation,baseline,baseline,algo_1,algo_1,algo_2,algo_2,algo_3,algo_3
score_type,linear,squared,linear,squared,linear,squared,linear,squared
0,0.16828127366004517,5.151427357680752e-05,0.33811663938309416,0.00016145300215856428,0.36671336793395237,0.00017698892587387168,0.33327793626663926,0.00013930673384945422
1,0.17791293988350462,5.6327429317522035e-05,0.23227155083226494,9.201473224502772e-05,0.47991810646109667,0.00024263153103359285,0.33102801145337885,0.0001393342506494761
2,0.1755159765323185,4.9393535920440444e-05,0.20553626757045257,7.914167122701138e-05,0.488570721970478,0.00022942537239666958,0.32971513449760737,0.00013636991713123227
3,0.17019923508044923,4.65749332407668e-05,0.19046212478916105,7.191604837097428e-05,0.4182768246496334,0.00017831853224925407,0.33176863720154826,0.00013532156530932175
4,0.17336382028893443,4.862620208288575e-05,0.1790091501871628,6.745815717525318e-05,0.43230605578605297,0.00017702082977274786,0.3339447519919296,0.00013961685381745008
5,0.16967580610216768,4.6361431449336814e-05,0.17502772199162087,6.788078093449153e-05,0.4319779330365436,0.00018366283576571322,0.3362435897159223,0.00013977461730694816
6,0.17015099986311127,4.522328466689318e-05,0.17787095105961837,7.064180102440631e-05,0.39938757766332944,0.0001601308820834041,0.3354860030749531,0.00014047077447161508
7,0.16951592345404287,4.46169697866716e-05,0.16906193554114118,6.465362928188335e-05,0.4123004579986714,0.00016718410728315566,0.3365813094755544,0.00014338774230491627
8,0.17113869441130372,4.6222579358572956e-05,0.1675257039361753,6.325558364256295e-05,0.43601663178914174,0.0001861526889726315,0.33833231280053044,0.00014406316023019903
9,0.1731221138792426,4.756333495776472e-05,0.16422441497000406,6.134851772449738e-05,0.45643928139044765,0.0001899406748869027,0.338883390133217,0.00014572724096399554
10,0.17151189597138378,4.6856468427180616e-05,0.16110510473597062,5.960370167867936e-05,0.4347871375976702,0.00017215214488969672,0.3396309633487834,0.00014534706313795164
11,0.1704021806569634,4.59980180259639e-05,0.16430301063647476,6.0254488837090845e-05,0.44719252252811315,0.00018450567025128704,0.34163599791633037,0.00014607797343486206
12,0.17223730545297739,4.68481252804966e-05,0.1613938032940572,5.8537273626915456e-05,0.4517885300744626,0.0001835662495311782,0.3447016099020392,0.0001491186859687235
13,0.16752597131849623,4.406645879821418e-05,0.15760051343758408,5.605574103529085e-05,0.4615391834474401,0.00018708135890495203,0.34413189676087974,0.00014953949187989792
14,0.16841280054828295,4.4460750581558296e-05,0.15661221763552066,5.580064435275938e-05,0.4696352975496991,0.0001931975364086734,0.34616459110045705,0.00015098673592389196
15,0.16939734356867275,4.5283710258394924e-05,0.15552156284210994,5.50143163100514e-05,0.4560987297042293,0.00018190809782557958,0.3480821183659135,0.00015332251546922504
16,0.16985858546555802,4.597786884149352e-05,0.15312247854207917,5.383959722335567e-05,0.46581942065785675,0.00018894851866189713,0.3497456063502126,0.00015421770315483268
